May  5 13:05:19 kernel: klogd started: BusyBox v1.25.1 (2022-04-12 20:30:56 CST)
May  5 13:05:33 kernel: [   44.928000] Channel   6 : Busy Time =   2040, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.935400] Channel   7 : Busy Time =   2400, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.942815] Channel   8 : Busy Time =   1518, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.950190] Channel   9 : Busy Time =   1519, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.957601] Channel  10 : Busy Time =   2593, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.964986] Channel  11 : Busy Time =   7381, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.972397] Channel  12 : Busy Time =      0, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.979773] Channel  13 : Busy Time =   1322, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.987181] ====================================================================
May  5 13:05:33 kernel: [   44.994654] Rule 3 Channel Busy time value : Select Primary Channel 12
May  5 13:05:33 kernel: [   45.001204] Rule 3 Channel Busy time value : Min Channel Busy = 0
May  5 13:05:33 kernel: [   45.007271] Rule 3 Channel Busy time value : BW = 20
May  5 13:05:33 kernel: [   45.012264] [SelectClearChannelBusyTime] - band0 END
May  5 13:05:33 kernel: [   45.017213] ApAutoChannelAtBootUp : Auto channel selection: Selected channel = 12, IsAband = 0
May  5 13:05:33 kernel: [   45.025840] ^[[41m AutoChSelUpdateChannel(): Update channel for wdev for this band PhyMode = 14, Channel = 12 ^[[m
May  5 13:05:33 kernel: [   45.035997] ^[[1;33m [RadarStateCheck] RD_NORMAL_MODE ^[[m 
May  5 13:05:33 kernel: [   45.041466] mt7615_apply_dcoc() : reload Central CH [10] BW [1] from cetral freq [2467]  offset [2500]
May  5 13:05:33 kernel: [   45.050879] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:33 kernel: [   45.055270] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:33 kernel: [   45.601652] ApAutoChannelAtBootUp<-----------------
May  5 13:05:33 kernel: [   45.606581] [PMF]APPMFInit:: apidx=0, MFPC=0, MFPR=0, SHA256=0
May  5 13:05:33 kernel: [   45.612536] wifi_sys_linkup(), wdev idx = 0
May  5 13:05:33 kernel: [   45.616722] wtc_acquire_groupkey_wcid: Found a non-occupied wtbl_idx:127 for WDEV_TYPE:1
May  5 13:05:33 kernel: [   45.616722]  LinkToOmacIdx = 0, LinkToWdevType = 1
May  5 13:05:33 kernel: [   45.744267] bssUpdateBmcMngRate (BSS_INFO_BROADCAST_INFO), CmdBssInfoBmcRate.u2BcTransmit= 0, CmdBssInfoBmcRate.u2McTransmit = 0
May  5 13:05:33 kernel: [   45.764003] UpdateBeaconHandler, BCN_UPDATE_INIT, OmacIdx = 0
May  5 13:05:33 kernel: [   45.769774] APStartUpForMbss: BssIndex = 0 channel = 12
May  5 13:05:33 kernel: [   45.775177] MtCmdTxPowerDropCtrl: ucPowerDrop: 100, BandIdx: 0
May  5 13:05:33 kernel: [   45.782613] apidx 0 for WscUUIDInit
May  5 13:05:33 kernel: [   45.786091] Generate UUID for apidx(0)
May  5 13:05:33 kernel: [   45.864286] Set_TxPower_Proc: BandIdx = 0
May  5 13:05:34 kernel: [   45.896316] rai0: ===> main_virtual_if_open
May  5 13:05:34 kernel: [   45.902103] load l1profile succeed!
May  5 13:05:34 kernel: [   45.906369] driver_own()::Try to Clear FW Own...
May  5 13:05:34 kernel: [   46.213185] driver_own()::Success to clear FW Own
May  5 13:05:34 kernel: [   46.220078] APWdsInitialize():WdsEntry Number=4
May  5 13:05:34 kernel: [   46.230851] RtmpOSFileOpen(): Error 2 opening /etc/Wireless/iNIC/iNIC_ap_5G.dat
May  5 13:05:34 kernel: [   46.238201] Open file "/etc/Wireless/iNIC/iNIC_ap_5G.dat" failed!
May  5 13:05:34 kernel: [   46.244994] E2pAccessMode=2
May  5 13:05:34 kernel: [   46.248125] SSID[0]=Cisco_5G, EdcaIdx=0
May  5 13:05:34 kernel: [   46.252539] BSS0 PhyMode=49
May  5 13:05:34 kernel: [   46.255328] wmode_band_equal(): Band Equal!
May  5 13:05:34 kernel: [   46.259595] auto_ch_select_set_cfg(): BandIdx0, AutoChannelAtBootup=1, AutoChannelAlg = 3
May  5 13:05:34 kernel: [   46.269450] [TxPower] BAND0: 100 
May  5 13:05:34 kernel: [   46.275053] [BFBACKOFFenable] BAND0: 1 
May  5 13:05:34 kernel: [   46.279687] FragThreshold[0]=2346
May  5 13:05:34 kernel: [   46.286360] I/F(ra0) NoForwardingMBCast=0
May  5 13:05:34 kernel: [   46.293222] read_etxbf: ETxBfEnCond = 1
May  5 13:05:34 kernel: [   46.297040] read_etxbf: BSSID[0]
May  5 13:05:34 kernel: [   46.300248] read_etxbf: MBSS[0] ETxBfEnCond = 1
May  5 13:05:34 kernel: [   46.305940] [RTMPSetProfileParameters]Disable DFS/Zero wait=0/0
May  5 13:05:34 kernel: [   46.348490] If/wds0 - PeerPhyOpMode=255
May  5 13:05:34 kernel: [   46.353063] APWdsInitialize():WdsEntry Number=4
May  5 13:05:34 kernel: [   46.357568] WDS-Enable mode=0
May  5 13:05:34 kernel: [   46.360728] AndesSendCmdMsg: Could not send in band command due to diablefRTMP_ADAPTER_MCU_SEND_IN_BAND_CMD
May  5 13:05:34 kernel: [   46.370443] AndesSendCmdMsg: Command type = ed, Extension command type = 48
May  5 13:05:34 kernel: [   46.380769] HT: WDEV[0] Ext Channel = BELOW
May  5 13:05:34 kernel: [   46.385237] HT: greenap_cap = 0
May  5 13:05:34 kernel: [   46.409927] RT_CfgSetWscPinCode(): invalid Wsc PinCode (14725836)
May  5 13:05:34 kernel: [   46.416009] RTMPSetProfileParameters - WscVendorPinCode: invalid pin code(14725836)
May  5 13:05:34 kernel: [   46.445230] WtcSetMaxStaNum: BssidNum:1, MaxStaNum:125 (WdsNum:4, ApcliNum:1, MaxNumChipRept:16), MinMcastWcid:126
May  5 13:05:34 kernel: [   46.455810] Top Init Done!
May  5 13:05:34 kernel: [   46.458514] Use dev_alloc_skb
May  5 13:05:34 kernel: [   46.462917] RX[0] DESC a0e18000 size = 16384
May  5 13:05:34 kernel: [   46.468514] RX[1] DESC a0d2a000 size = 8192
May  5 13:05:34 kernel: [   46.473293] cut_through_init(): ct sw token number = 4095
May  5 13:05:34 kernel: [   46.479105] cut_through_token_list_init(): TokenList inited done!id_head/tail=0/4096
May  5 13:05:34 kernel: [   46.486861] cut_through_token_list_init(): 80d23a08,80d23a08
May  5 13:05:34 kernel: [   46.493044] cut_through_token_list_init(): TokenList inited done!id_head/tail=0/4096
May  5 13:05:34 kernel: [   46.500753] cut_through_token_list_init(): 80d23a18,80d23a18
May  5 13:05:34 kernel: [   46.506457] Hif Init Done!
May  5 13:05:34 kernel: [   46.509157] ctl->txq = c1678d90
May  5 13:05:34 kernel: [   46.512311] ctl->rxq = c1678d9c
May  5 13:05:34 kernel: [   46.515440] ctl->ackq = c1678da8
May  5 13:05:34 kernel: [   46.518648] ctl->kickq = c1678db4
May  5 13:05:34 kernel: [   46.521961] ctl->tx_doneq = c1678dc0
May  5 13:05:34 kernel: [   46.525526] ctl->rx_doneq = c1678dcc
May  5 13:05:34 kernel: [   46.529152] Parsing patch header
May  5 13:05:34 kernel: [   46.532380] 	Built date: 20180518100604a
May  5 13:05:34 kernel: [   46.536354] 
May  5 13:05:34 kernel: [   46.537832] 	Platform: ALPS
May  5 13:05:34 kernel: [   46.540624] 	HW/SW version: 0x8a108a10
May  5 13:05:34 kernel: [   46.544393] 	Patch version: 0x00000010
May  5 13:05:34 kernel: [   46.548145] 	Target address: 0x80000, length: 11072
May  5 13:05:34 kernel: [   46.553152] patch is not ready && get semaphore success
May  5 13:05:34 kernel: [   46.558422] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.563254] MtCmdPatchFinishReq
May  5 13:05:34 kernel: [   46.577644] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.582447] release patch semaphore
May  5 13:05:34 kernel: [   46.585928] WfMcuHwInit: Before NICLoadFirmware, check ICapMode = 0
May  5 13:05:34 kernel: [   46.592231] Parsing CPU 0 fw tailer
May  5 13:05:34 kernel: [   46.595704] 	Chip ID: 0x04
May  5 13:05:34 kernel: [   46.598404] 	Eco version: 0x00
May  5 13:05:34 kernel: [   46.601503] 	Region number: 0x00
May  5 13:05:34 kernel: [   46.604721] 	Format version: 0x00
May  5 13:05:34 kernel: [   46.608023] 	Ram version: _reserved_
May  5 13:05:34 kernel: [   46.611660] 	Built date: 20170622015450<4>[   46.621973] 	Feature set: 0x01
May  5 13:05:34 kernel: [   46.625033] 	Target address: 0x84000, Download size: 409600
May  5 13:05:34 kernel: [   46.630574] Parsing tailer region 1
May  5 13:05:34 kernel: [   46.634063] 	Feature set: 0x01
May  5 13:05:34 kernel: [   46.637122] 	Target address: 0x209c400, Download size: 53056
May  5 13:05:34 kernel: [   46.642876] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.651841] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.657014] MtCmdFwStartReq: override = 0x1, address = 0x84000
May  5 13:05:34 kernel: [   46.662963] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.667685] Parsing CPU 1 fw tailer
May  5 13:05:34 kernel: [   46.671181] 	Chip ID: 0x04
May  5 13:05:34 kernel: [   46.673890] 	Eco version: 0x00
May  5 13:05:34 kernel: [   46.676933] 	Region number: 0x00
May  5 13:05:34 kernel: [   46.680149] 	Format version: 0x00
May  5 13:05:34 kernel: [   46.683476] 	Ram version: _reserved_
May  5 13:05:34 kernel: [   46.687068] 	Built date: 20190415154149<4>[   46.693916] Parsing tailer region 0
May  5 13:05:34 kernel: [   46.697382] 	Feature set: 0x01
May  5 13:05:34 kernel: [   46.700428] 	Target address: 0x90000000, Download size: 122608
May  5 13:05:34 kernel: [   46.706334] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.712026] MtCmdFwStartReq: override = 0x4, address = 0x0
May  5 13:05:34 kernel: [   46.782881] EventGenericEventHandler: CMD Success
May  5 13:05:34 kernel: [   46.821714] MCU Init Done!
May  5 13:05:34 kernel: [   46.824423] efuse_probe: efuse = 10000212
May  5 13:05:34 kernel: [   46.828410] RtmpChipOpsEepromHook::e2p_type=2, inf_Type=5
May  5 13:05:34 kernel: [   46.833800] RtmpEepromGetDefault::e2p_dafault=1
May  5 13:05:34 kernel: [   46.838308] RtmpChipOpsEepromHook: E2P type(2), E2pAccessMode = 2, E2P default = 1
May  5 13:05:34 kernel: [   46.845875] NVM is FLASH mode. dev_idx [1] FLASH OFFSET [0x8000]
May  5 13:05:34 kernel: [   46.853689] ^[[34mNICReadEEPROMParameters: EEPROM 0x52 b302^[[m
May  5 13:05:34 kernel: [   46.859423] ^[[34mNICReadEEPROMParameters: EEPROM 0x52 b302^[[m
May  5 13:05:42 kernel: [   54.327949] Country Region from e2p = 101
May  5 13:05:42 kernel: [   54.331986] mt7615_antenna_default_reset(): TxPath = 4, RxPath = 4
May  5 13:05:42 kernel: [   54.338144] RcRadioInit(): DbdcMode=0, ConcurrentBand=1
May  5 13:05:42 kernel: [   54.343370] RcRadioInit(): pRadioCtrl=8fd56af4,Band=0,rfcap=3,channel=1,PhyMode=2 extCha=0xf
May  5 13:05:42 kernel: [   54.351816] MtSingleSkuLoadParam: RF_LOCKDOWN Feature OFF !!!
May  5 13:05:42 kernel: [   54.358929] MtBfBackOffLoadParam: RF_LOCKDOWN Feature OFF !!!
May  5 13:05:42 kernel: [   54.365065] EEPROM Init Done!
May  5 13:05:42 kernel: [   54.368030] mt_mac_init()-->
May  5 13:05:42 kernel: [   54.370892] mt7615_init_mac_cr()-->
May  5 13:05:42 kernel: [   54.374397] mt7615_init_mac_cr(): TMAC_TRCR0=0x82783c8c
May  5 13:05:42 kernel: [   54.379622] <--mt_mac_init()
May  5 13:05:42 kernel: [   54.382703] CmdRxHdrTransBLUpdateRsp::EventExtCmdResult.u4Status = 0x0
May  5 13:05:42 kernel: [   54.389325] CmdRxHdrTransBLUpdateRsp::EventExtCmdResult.u4Status = 0x0
May  5 13:05:42 kernel: [   54.395938] CmdRxHdrTransBLUpdateRsp::EventExtCmdResult.u4Status = 0x0
May  5 13:05:42 kernel: [   54.402487] MAC Init Done!
May  5 13:05:42 kernel: [   54.405190] MT7615BBPInit():BBP Initialization.....
May  5 13:05:42 kernel: [   54.410046] 	Band 0: valid=1, isDBDC=0, Band=2, CBW=1, CentCh/PrimCh=1/1, prim_ch_idx=0, txStream=2
May  5 13:05:42 kernel: [   54.419096] 	Band 1: valid=0, isDBDC=0, Band=0, CBW=0, CentCh/PrimCh=0/0, prim_ch_idx=0, txStream=0
May  5 13:05:42 kernel: [   54.428112] MT7615BBPInit() todo
May  5 13:05:42 kernel: [   54.431347] PHY Init Done!
May  5 13:05:42 kernel: [   54.436565] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:42 kernel: [   54.440510] ap_ftkd> Initialize FT KDP Module...
May  5 13:05:42 kernel: [   54.445164] Main bssid = 00:00:00:00:00:00
May  5 13:05:42 kernel: [   54.456659] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:42 kernel: [   54.460494] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:42 kernel: [   54.464205] <==== mt_wifi_init, Status=0
May  5 13:05:42 kernel: [   54.468109] TxBfModuleEnCtrl:It's not DBDC mode
May  5 13:05:42 kernel: [   54.472698] MtCmdEDCCACtrl: BandIdx: 0, EDCCACtrl: 1
May  5 13:05:42 kernel: [   54.477772] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:42 kernel: [   54.486665] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:42 kernel: [   54.498392] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:42 kernel: [   54.541171] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:42 kernel: [   54.549872] Total allocated 4 WDS interfaces!
May  5 13:05:42 kernel: [   54.602671] WtcSetMaxStaNum: BssidNum:1, MaxStaNum:125 (WdsNum:4, ApcliNum:1, MaxNumChipRept:16), MinMcastWcid:126
May  5 13:05:42 kernel: [   54.718255] RedInit: set CR4/N9 RED Enable to 1.
May  5 13:05:42 kernel: [   54.722939] RedInit: RED Initiailize Done.
May  5 13:05:42 kernel: [   54.727052] cp_support_is_enabled: set CR4 CP_SUPPORT to Mode 2.
May  5 13:05:42 kernel: [   54.733108] RTMP_COM_IoctlHandle -> CMD_RTPRIV_IOCTL_VIRTUAL_INF_UP
May  5 13:05:42 kernel: [   54.739354] wifi_sys_open(), wdev idx = 0
May  5 13:05:42 kernel: [   54.743395] wdev_attr_update(): wdevId0 = b0:39:56:58:95:93
May  5 13:05:42 kernel: [   54.748945] [RcGetHdevByPhyMode]-- channel 0 fix for rdev fetching
May  5 13:05:42 kernel: [   54.755329] ^[[1;33m [RadarStateCheck] RD_NORMAL_MODE ^[[m 
May  5 13:05:42 kernel: [   54.760714] phy_freq_adjust : no prim_ch value for adjust!
May  5 13:05:42 kernel: [   54.767170] Caller: wlan_operate_init+0x164/0x178 [mt_wifi_7615E]
May  5 13:05:42 kernel: [   54.773282] phy_mode=49, ch=0, wdev_type=1
May  5 13:05:42 kernel: [   54.777361] ht_cap->HtCapInfo: ldpc=1,ch_width=1,gf=0,sgi20=1,sgi40=1,tx_stbc=1,rx_stbc=1,amsdu_size=1
May  5 13:05:42 kernel: [   54.786650] ht_cap->HtCapParm: mdpu_density=5, ampdu_factor=3
May  5 13:05:42 kernel: [   54.792751] AP inf up for ra_0(func_idx) OmacIdx=0
May  5 13:05:42 kernel: [   54.797554] AsicRadioOnOffCtrl(): DbdcIdx=0 RadioOn
May  5 13:05:42 kernel: [   54.802615] ApAutoChannelAtBootUp----------------->
May  5 13:05:42 kernel: [   54.807474] ApAutoChannelAtBootUp: AutoChannelBootup[0] = 1
May  5 13:05:42 kernel: [   54.813250] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:42 kernel: [   54.816941] [AutoChSelBuildChannelListFor5G] ChListNum5G = 13
May  5 13:05:42 kernel: [   54.822752] mt7615_apply_dcoc() : reload Central CH [36] BW [0] from cetral freq [5190]  offset [700]
May  5 13:05:42 kernel: [   54.832095] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:42 kernel: [   54.836433] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:43 kernel: [   55.051076] mt7615_apply_dcoc() : reload Central CH [40] BW [0] from cetral freq [5190]  offset [700]
May  5 13:05:43 kernel: [   55.060391] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:43 kernel: [   55.064781] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:43 kernel: [   55.281074] mt7615_apply_dcoc() : reload Central CH [44] BW [0] from cetral freq [5230]  offset [800]
May  5 13:05:43 kernel: [   55.290391] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:43 kernel: [   55.294788] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:43 kernel: [   55.511080] mt7615_apply_dcoc() : reload Central CH [48] BW [0] from cetral freq [5230]  offset [800]
May  5 13:05:43 kernel: [   55.520392] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:43 kernel: [   55.524786] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:43 kernel: [   55.741079] mt7615_apply_dcoc() : reload Central CH [52] BW [0] from cetral freq [5270]  offset [900]
May  5 13:05:43 kernel: [   55.750534] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:43 kernel: [   55.754937] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:44 kernel: [   55.971076] mt7615_apply_dcoc() : reload Central CH [56] BW [0] from cetral freq [5270]  offset [900]
May  5 13:05:44 kernel: [   55.980389] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:44 kernel: [   55.984785] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:44 kernel: [   56.201099] mt7615_apply_dcoc() : reload Central CH [60] BW [0] from cetral freq [5310]  offset [a00]
May  5 13:05:44 kernel: [   56.210423] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:44 kernel: [   56.214820] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:44 kernel: [   56.431082] mt7615_apply_dcoc() : reload Central CH [64] BW [0] from cetral freq [5310]  offset [a00]
May  5 13:05:44 kernel: [   56.440393] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:44 kernel: [   56.444787] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:44 kernel: [   56.661054] ====================================================================
May  5 13:05:44 kernel: [   56.668429] Channel  36 : Busy Time =    237, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.675847] Channel  40 : Busy Time =    234, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.683247] Channel  44 : Busy Time =      8, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.690607] Channel  48 : Busy Time =      0, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.698002] Channel  52 : Busy Time =      0, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.705393] Channel  56 : Busy Time =    219, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.712927] Channel  60 : Busy Time =      0, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.720363] Channel  64 : Busy Time =      0, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:44 kernel: [   56.727780] ====================================================================
May  5 13:05:44 kernel: [   56.735169] Rule 3 Channel Busy time value : Select Primary Channel 48
May  5 13:05:44 kernel: [   56.741809] Rule 3 Channel Busy time value : Min Channel Busy = 237
May  5 13:05:44 kernel: [   56.748053] Rule 3 Channel Busy time value : BW = 160
May  5 13:05:44 kernel: [   56.753194] [SelectClearChannelBusyTime] - band0 END
May  5 13:05:44 kernel: [   56.758148] ApAutoChannelAtBootUp : Auto channel selection: Selected channel = 48, IsAband = 1
May  5 13:05:44 kernel: [   56.766778] ^[[41m AutoChSelUpdateChannel(): Update channel for wdev for this band PhyMode = 49, Channel = 48 ^[[m
May  5 13:05:44 kernel: [   56.776932] ^[[1;33m [RadarStateCheck] RD_NORMAL_MODE ^[[m 
May  5 13:05:44 kernel: [   56.782388] mt7615_apply_dcoc() : reload 160 Central CH [42] BW [3] from cetral freq [5210]  offset [1900]
May  5 13:05:44 kernel: [   56.792165] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:44 kernel: [   56.796506] mt7615_apply_dcoc() : reload 160 Central CH [58] BW [3] from cetral freq [5290]  offset [1a00]
May  5 13:05:44 kernel: [   56.806418] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:44 kernel: [   56.810758] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:46 kernel: [   58.542121] [DfsCacNormalStart] Normal start. Enable MAC TX
May  5 13:05:46 kernel: [   58.562115] ApAutoChannelAtBootUp<-----------------
May  5 13:05:46 kernel: [   58.566995] [PMF]APPMFInit:: apidx=0, MFPC=0, MFPR=0, SHA256=0
May  5 13:05:46 kernel: [   58.572948] wifi_sys_linkup(), wdev idx = 0
May  5 13:05:46 kernel: [   58.577132] wtc_acquire_groupkey_wcid: Found a non-occupied wtbl_idx:127 for WDEV_TYPE:1
May  5 13:05:46 kernel: [   58.577132]  LinkToOmacIdx = 0, LinkToWdevType = 1
May  5 13:05:46 kernel: [   58.705420] bssUpdateBmcMngRate (BSS_INFO_BROADCAST_INFO), CmdBssInfoBmcRate.u2BcTransmit= 8192, CmdBssInfoBmcRate.u2McTransmit = 8196
May  5 13:05:46 kernel: [   58.725684] UpdateBeaconHandler, BCN_UPDATE_INIT, OmacIdx = 0
May  5 13:05:46 kernel: [   58.731483] APStartUpForMbss: BssIndex = 0 channel = 48
May  5 13:05:46 kernel: [   58.736827] MtCmdTxPowerDropCtrl: ucPowerDrop: 100, BandIdx: 0
May  5 13:05:46 kernel: [   58.744114] apidx 0 for WscUUIDInit
May  5 13:05:46 kernel: [   58.747637] Generate UUID for apidx(0)
May  5 13:05:46 kernel: [   58.758378] Set_TxPower_Proc: BandIdx = 0
May  5 13:05:47 R6800: start skipd
May  5 13:05:47 kernel: [   59.759431] Set_Fh_Bss_Proc ra0 wdev->MAPCfg.DevOwnRole 0x0
May  5 13:05:47 kernel: [   59.775343] Set_Fh_Bss_Proc ra0 wdev->MAPCfg.DevOwnRole 0x20
May  5 13:05:47 kernel: [   59.803406] Set_Fh_Bss_Proc rai0 wdev->MAPCfg.DevOwnRole 0x0
May  5 13:05:47 kernel: [   59.819309] Set_Fh_Bss_Proc rai0 wdev->MAPCfg.DevOwnRole 0x20
May  5 13:05:49 R6800: start httpd:80
May  5 13:05:49 smartdns: conf file /etc/blacklist-ip.conf is not readable.
May  5 13:05:49 smartdns: conf file /etc/whitelist-ip.conf is not readable.
May  5 13:05:49 smartdns: conf file /etc/seconddns.conf is not readable.
May  5 13:05:49 disk monitor: be idle
May  5 13:05:49 kernel: [   61.706109] Set_Map_Proc current MAP MODE is 0
May  5 13:05:49 kernel: [   61.722692] Set_Map_Proc current MAP MODE is 0
May  5 13:05:49 avahi-daemon[1334]: WARNING: No NSS support for mDNS detected, consider installing nss-mdns!
May  5 13:05:50 kernel: [   61.946492] Set_Fh_Bss_Proc ra0 wdev->MAPCfg.DevOwnRole 0x0
May  5 13:05:50 kernel: [   61.959227] Set_Fh_Bss_Proc ra0 wdev->MAPCfg.DevOwnRole 0x20
May  5 13:05:50 kernel: [   61.985410] Set_Fh_Bss_Proc rai0 wdev->MAPCfg.DevOwnRole 0x0
May  5 13:05:50 kernel: [   62.005950] Set_Fh_Bss_Proc rai0 wdev->MAPCfg.DevOwnRole 0x20
May  5 13:05:50 httpd: Save SSL certificate...80
May  5 13:05:50 httpd: Generating SSL certificate...80
May  5 13:05:50 kernel: [   62.098713] -->mtfwd_init(ver:1.0)<--
May  5 13:05:50 kernel: [   62.317228] add tx_src: b0:39:56:58:95:92
May  5 13:05:50 kernel: [   62.325638] Mac: b0:39:56:58:95:92 was aleady existed.
May  5 13:05:50 kernel: [   62.330927] add tx_src: b0:39:56:58:95:93
May  5 13:05:50 kernel: [   62.335848] add tx_src: b6:29:56:58:95:92
May  5 13:05:50 kernel: [   62.339898] nf_unregister_hooks()
May  5 13:05:50 kernel: [   62.461921] Mac: b0:39:56:58:95:93 was aleady existed.
May  5 13:05:50 kernel: [   62.467261] add tx_src: b6:29:56:58:95:93
May  5 13:05:50 kernel: [   62.478231] [mtfwd] update eth interface vlan1
May  5 13:05:50 kernel: [   62.482883] Mac: b0:39:56:58:95:92 was aleady existed.
May  5 13:05:50 kernel: [   62.488108] Mac: b0:39:56:58:95:93 was aleady existed.
May  5 13:05:50 kernel: [   62.512013] Mac: b0:39:56:58:95:93 was aleady existed.
May  5 13:05:50 kernel: [   62.517389] Mac: b0:39:56:58:95:93 was aleady existed.
May  5 13:05:50 kernel: [   62.541947] Mac: b0:39:56:58:95:92 was aleady existed.
May  5 13:05:50 kernel: [   62.547418] Mac: b0:39:56:58:95:92 was aleady existed.
May  5 13:05:50 avahi-daemon[1334]: Alias name "R6800" successfully established.
May  5 13:05:52 : module ehci-hcd not found in modules.dep
May  5 13:05:52 : module ohci-hcd not found in modules.dep
May  5 13:05:52 : module leds-usb not found in modules.dep
May  5 13:05:52 kernel: [   64.328171] SCSI subsystem initialized
May  5 13:05:52 : module scsi_wait_scan not found in modules.dep
May  5 13:05:52 Mastiff: init
May  5 13:05:52 : module jbd not found in modules.dep
May  5 13:05:52 : module ext3 not found in modules.dep
May  5 13:05:54 rc_service: udhcpc_lan 1839:notify_rc stop_httpd
May  5 13:05:54 rc_service: udhcpc_lan 1839:notify_rc start_httpd
May  5 13:05:54 rc_service: waitting "stop_httpd" via udhcpc_lan ...
May  5 13:05:55 Softcenter/软件中心: Installing/开始安装......
May  5 13:05:55 Softcenter/软件中心: Wait a minute/1分钟后完成安装
May  5 13:05:56 admin: Not enough free space for JFFS!/当前jffs分区剩余空间不足!
May  5 13:05:56 admin: Exit!/退出安装!
May  5 13:05:56 rc_service: service 1867:notify_rc start_skipd
May  5 13:05:56 rc_service: waitting "stop_httpd" via udhcpc_lan ...
May  5 13:05:58 httpd: Succeed to init SSL certificate...80
May  5 13:05:59 R6800: swrtid:f04676b5-4662-4e17-84c3-d2758bbb95d3
May  5 13:05:59 R6800: rcode:823366ceafde382c11b8a00f232186ae
May  5 13:05:59 R6800: fwver: 4.0.0.4_386_R6800_B5.1.8-g5f2309a (sn: /ha:B0:39:56:58:95:93 )
May  5 13:05:59 R6800: start httpd:80
May  5 13:05:59 rc_service: udhcpc_lan 1839:notify_rc start_dnsmasq
